,product,purchased_with
70,Alien OG Disposable [Distillate] | 1g,Limonade Disposable Vape Pen
71,Alien OG Disty Dabber [Distillate] | 1g,24K Gold (Tangie x Kosher Kush) Crumbled & Infused [Diamonds] | 1g
72,All Dressed,Pineapple Express
73,"All Dressed (Blend of Tropic Thunder, Gnarberry, Funkmaster, Dessert Storm)",Funk Master (Gas & Kush Aromas)
74,Allen Wrench (NYC Diesel x Trainwreck),Rogue Wave (Ghost Train Haze) [THCa Diamonds] | 1x0.5g
75,Alternative Alchemy,Orange
76,Amsterdam Sativa,Organic Mother of Berries
77,Amsterdam Sativa (Cherry Mints),Terple (Tropicana Cookies x Slurricane) | 5x0.6g
78,Animal Face,Pink Kush
79,Animal Face (Animal Mints x Face Off OG),Animal Face (Animal Mints x Face Off OG) Pre-Roll
80,Animal Face (Animal Mints x Face Off OG) Infused Pre-Roll,Animal Face (Animal Mints x Face Off OG) Pre-Roll
81,Animal Face (Animal Mints x Face Off OG) Pre-Roll,Animal Face (Animal Mints x Face Off OG) Pre-Roll
82,Animal Face (Face Off OG x Animal Mints),Animal Face (Face Off OG x Animal Mints)
83,Animal Face (Face Off OG x Animal Mints) | 3x0.5g,The Jeffrey (Mix of Strains) | 1x0.5g
84,Animal Face Infused Pre-Roll,Rainbow Driver (Sundae Driver x Zkittlez)
85,Animal Face Pre-Roll,Animal Face (Animal Mints x Face Off OG) Pre-Roll
86,Animal Face Sherb Crasher,Death Bubba Diamond Infused Pre-Roll
87,Animal Face Sherb Crasher (Animal Face x Sherb Crasher),CrunchBerries (Triple OG x Blueberry)
88,Animal Rntz,Animal Rntz (Animal Cookies x RNTZ)
89,Animal Rntz (Animal Cookies x RNTZ),Wes Coast Kush (OG Kush x ??)
90,Animal Rntz (Animal Cookies x Rntz),Banana OG (Banana Kush x OG Kush) Pre-Roll
91,Animal Rntz (Animal Cookies x Runtz),Hippie Chicken | 1x1g
92,Animal Sorbet x Kush Mints BLNT Pre-Roll,Animal Sorbet x Kush Mints BLNT Pre-Roll
93,Animal Sundae Glass Tip (Gelato x Animal Mints) Pre-Roll,Space Cake (GSC x Snow Lotus) Pre-Roll
94,Apex OG,Gnarberry Dartz Pre-Roll
95,Apex OG (OG Kush),Apex OG (OG Kush)
96,Apex OG Pre-Roll,Sunny Daze Sativa (Lemon Freeze Pop) | 1x0.5g
97,Apple Bubba x Strawberry Guava Jet Pack Infused Pre-Roll,Juicy Jet Pack Infused Pre-Roll
98,Apple Fritter,Something Fruity 510 Thread Cartridge
99,Apple Fritter (Sour Apple x Animal Cookies) Pre-Roll,Early Lemon Berry (Las Vegas Skunk x Member Berry)
100,Apple Fritter (Sour Apples x Animal CKS),Grapey Grape [Distillate] | 3x0.5g
101,Apple Fritter (Triangle Kush x Animal Mints),Cactus Breath (Cactus x Mendo Breath F2)
102,Apple Fritter Pre-Roll,Grapey Grape Distillate Infused Pre-Roll
103,Apple Kush Meltdown Distillate Infused Pre-Rolls,Grapey Grape [Distillate] | 3x0.5g
104,Apple Pie Caramels | 2pcs,CBN:THC Strawberry Melon 4:1 | 5pcs
105,Apricot Jelly [Distillate] | 1g,Tidal - All-Natural Lip Balm Hybrid - 5g
106,Apricot Kush Full Spectrum Hash Soft Chews,Apricot Kush Full Spectrum Hash Soft Chews
107,Apricot Kush Full Spectrum [Hash] | 2pcs,Sour Razzleberry Rapid | 5pcs
108,Arctic Cherry Lozenges,Lemon Pepper Live Resin 510 Thread Cartridge
109,Area 51 (MAC-1 Phenotype),Animal Rntz (Animal Cookies x Runtz)
110,Ash,Nana's Jam 510 Thread Cartridge
111,"Assorted Multi Pack (ZSweet, ZXFPOG & Planet of the Grapes) | 12x0.3g",Night Rider (Skywalker) | 2x1g
112,Assorted Multi Pack Pre-Roll,Pink Kush (OG Kush Phenotype)
113,Astro Pink Diamonds,Astro Pink Diamonds
114,Astroid-Mix,Mint Chocolate Chip (Mystery Cookies x Green Ribbon)
115,Atlantic Glue,Smoker Farms Select (Master Kush Ultra)
116,Atomic Sour Grapefruit,Starwalker Kush (Mazar x Blueberry x OG Kush)
117,Atomic Sour Grapefruit (Chemdawg x SFV OG Kush),OS.ONE Powdered Donut (Orange Cookies x Jet Fuel Gelato)
118,Atomic Sour Grapefruit (Chemdawg x SFV OG Kush) | 10x0.35g,Ghost Gelato (Ghost Train Haze x Gelato) | 14x0.35g
119,Atomic Sour Grapefruit Pre-Roll,Baker's Dozen Pre-Roll
120,Avalanche Pre-Roll,Cherry Comfort THC:CBG [Diamonds] | 3x0.5g
121,Avana - Lemonberry Haze Live Rosin Pax Pod - 0.5g,Avana - Lemonberry Haze Live Rosin Pax Pod - 0.5g
122,Avana - Orange Kush CK Live Resin,Puffco - The Peak Pro
123,Avana - Select Live Rosin 510 Thread Cartridge - 1g,NEW 
124,BC Bounty Milled Flower,Purple Monkey 510 Thread Cartridge
125,BC Dreamweaver Full Spectrum 510 Thread Cartridge,Mandarin Cookies R2 LSO
126,BC Dreamweaver [Full Spectrum] | 1g,Blood Orange [Distillate] | 1g
127,BC God Bud,Dough Lato (Dolato x Moonbow)
128,BC Legacy Exotics ( French Fire x Barbara Bud ),CrunchBerries (Triple OG x Blueberry)
129,BC Legacy Exotics (French Fire x Barbara Bud),Jealousy x Apples & Bananas
130,BC Legacy OG,British Columbia's Gas Hybrid - 7g
131,BC Legacy OG (Lemon Sugar Kush),Tiger Blood Distillate Infused Pre-Roll
132,BC OZ - Sour Sangria Craft Sativa - 28g,Billy's Pheno
133,BC Organic Blue Dream (Blueberry x Haze) Pre-Roll,BC Organic Blue Dream (Blueberry x Haze) Pre-Roll
134,BC Organic Blue Dream Pre-Roll,Animal Face Pre-Roll
135,BC Organic Harlequin (Columbia Gold x Thai Landrace) Pre-Roll,BC Organic Harlequin (Columbia Gold x Thai Landrace) Pre-Roll
136,BC Organic Lime Mi'jito,Afghan Black Hash
137,BC Organic Lime Mi'jito (Limegerian x Orange Blossom Trail),Afghan Black Hash
138,BC Purple Kush,Cherry Pie | 5x0.6g
139,BC Purple Kush Full Spectrum 510 Thread Cartridge,Jungle Fruit 510 Thread Cartridge
140,BC Purple Kush [Full Spectrum] | 1.2g,Forbidden Fruit [Distillate] | 0.45g
141,BIG Banana OG (OG Kush x Banana Kush),Rainbow Driver (Sundae Driver x Zkittlez)
142,BIG PLEASURES (Maple Kush),Blue Razzleberry 3:1 CBG/THC
143,BIG Shatter Half n Half (Cherry & Grape) | 2x0.5g,Shatter: Pink Princess & Roil Lemon Haze | 2x0.5g
144,BIG Shatter Half n Half (Grape | Cherry),Purple Dream Sugar Wax
145,BILLY's PHENO (Animal Face Cookies),Mint Chocolate Chip (Mystery Cookies x Green Ribbon)
146,BLU,Afghan Black Hash
147,Back Forty - Indica Forbidden Fruit 510 Thread Cartridge - 1g,product test
148,Bag Rntz,Area 51 (MAC-1 Phenotype)
149,Baker's Dozen (Cake Crasher #1) | 13x0.45g,Redees: King Sherb (OGKB V2.1 x Blue Sherbert) | 10x0.4g
150,Baker's Dozen (Mendo Breath) | 13x0.45g,Baker's Dozen (Triple Burger) | 13x0.45g
151,Baker's Dozen (Triple Burger) | 13x0.45g,Baker's Dozen (Triple Burger) | 13x0.45g
152,Baker's Dozen Pre-Roll,Pink Kush (OG Kush Phenotype)
153,Balance Solid Milk Chocolate,Balance Solid Milk Chocolate
154,Balance Solid Milk Chocolate | 1pc,Balance Solid Milk Chocolate | 1pc
155,Balanced 10:10 Softgels,Nana's Jam 510 Thread Cartridge
156,Balanced Mango Haze 510 Thread Cartridge,Balanced Mango Haze 510 Thread Cartridge
157,Bamboo Honey (Do-Si-Dos x Platinum Cookies x Purple Punch),Jungl' Cake (White Fire #43 x Wedding Cake)
158,Banana Cream (Banana OG x Cookies & Cream),Blueberry Tart
159,Banana Gum (Banana OG x Bubblegum) [Live Rosin] | 1g,Lemon Pepper [Live Resin Badder] | 1g
160,Banana Hammock Infused Live Resin Cones,Juicy Jet Pack Infused Pre-Roll
161,Banana Hammock [Live Resin] | 5x0.5g,Drip Station (Grasey Runtz x Scotty 2 Hotty)
162,Banana Live Resin 510 Thread Cartridge,Jungl' Cake (White Fire #43 x Wedding Cake)
163,Banana Mints,Wes Coast Kush (OG Kush x ??)
164,Banana Mints (Banana OG x Kush Mints),OCB - Virgin Unbleached Cones
165,Banana OG (Banana Kush x OG Kush) Pre-Roll,Banana OG (Banana Kush x OG Kush) Pre-Roll
166,Banana OG (OG Kush x Banana) | 10x0.35g,Lemon-Lime | 355ml
167,Banana OG Pre-Roll,Banana OG (Banana Kush x OG Kush) Pre-Roll
168,Banana OG x Kush Mints 510 Thread Cartridge,Ceramic Tip Roulé Infusé Water Hash Infused Pre-Roll
169,Banana Petrol (Banana OG x Blue Petrol) | 1x1g,5 Star Sativa (Menthol x Legend Orange Apricot F2)
170,Banana Petrol Pre-Roll,Hippie Chicken Sativa Pre-Roll
171,Banana Split 510 Thread Cartridge,Big Red Pre-Roll
172,Banana Split [Distillate] | 1g,Island Cherry x Kawehnoke Eri'ko:wa (Black Cherry Punch) [Distillate] | 1g
173,Bandwagon (Bubba Cookies) Hybrid,Mother Pucker Peach Rip-Strip Hash
174,Bandwagon (Jet Fuel Gelato) Hybrid,Missionary Mango NSFW Liquid Diamond Dispenser
175,Bangin' Banana Magnum 510 Thread Cartridge,Jungle Fruit 510 Thread Cartridge
176,Bangtail Milled (Fruity Pebbles OG),Crossfade Sativa Drop (Melonaide)
177,Banjo Pre-Roll,Drops
178,Bernie Hanna Butter & TQ Sunrise AIO Vape Pen,Sour Grape Star & Apple MAC 2-in-1 Dual Chamber Disposable
179,BernieHana Butter,CBN:THC Strawberry Melon 4:1
180,BernieHana Butter & TQ Sunrise AIO Vape Pen,Afghan Black Hash
181,BernieHana Butter & TQ Sunrise Two-in-One Dual Chamber AIO,Amsterdam Sativa
182,BernieHana Butter & TQ Sunrise Two-in-One Dual Chamber Disposable [Distillate] | 2x0.5g,White Fire OG (The White x Fire OG)
183,BernieHana Butter ((Jet Fuel Gelato x Guava) x (Blue Cookies x Oreo)),Jean Guy (White Widow Phenotype)
184,BernieHana Butter (Jetfuel Gelato x Guava) x (Blue Cookies x Oreoz),LPC75 (Sunset Sherbert x NIP OG)
185,BernieHana Butter Pre-Roll,GMO Tropical Reign Holy Smokes (GMO Crescendo X Super Tropical) Pre-Roll
